workflow,MQ_score,HQ_score,Genus_score,Species_score,time_score,storage_score,rank_score
MetaWRAP,0.2564102564102564,0.13157894736842105,0.15384615384615385,0.05,0.0,0.7413340336134454,0.22219489853971278
MetaflowX,0.8589743589743589,0.5921052631578947,0.8461538461538461,0.8125,1.0,1.0,0.85162224471435
nf-mag,0.3717948717948718,0.7763157894736842,0.6153846153846154,0.65,0.9841965973534972,0.0,0.5662819790011114
