	Tool	accuracy_bp_Mean	accuracy_bp_Median	accuracy_bp_SD	accuracy_bp_Min	accuracy_bp_Max	precision_weighted_bp_Mean	precision_weighted_bp_Median	precision_weighted_bp_SD	precision_weighted_bp_Min	precision_weighted_bp_Max	recall_weighted_bp_Mean	recall_weighted_bp_Median	recall_weighted_bp_SD	recall_weighted_bp_Min	recall_weighted_bp_Max	f1_score_per_bp_Mean	f1_score_per_bp_Median	f1_score_per_bp_SD	f1_score_per_bp_Min	f1_score_per_bp_Max	rand_index_bp_Mean	rand_index_bp_Median	rand_index_bp_SD	rand_index_bp_Min	rand_index_bp_Max	percentage_of_assigned_bps_Mean	percentage_of_assigned_bps_Median	percentage_of_assigned_bps_SD	percentage_of_assigned_bps_Min	percentage_of_assigned_bps_Max
1	COMEBin	0.553766071289706	0.52108173354256	0.251643565891632	0.241661461344683	0.919360458815	0.787980894111561	0.760264251112851	0.102174698384473	0.644939994760141	0.985828559117862	0.553900032077002	0.538435264499383	0.238941002000432	0.221822391167171	0.906873749691895	0.629753928363341	0.620834466003806	0.198464392840148	0.348329333042787	0.938113623728895	0.988616201395744	0.990952663913726	0.00697186390360669	0.972822582455453	0.997497014987003	0.68650544492471	0.743044571432476	0.252957987820422	0.298109122369168	0.972873620840882
2	CONCOCT	0.292699135931815	0.261294285998388	0.133621411269635	0.100956512610673	0.559231478222525	0.414264581183125	0.4448911772776	0.0943236806474762	0.219683448953775	0.598172091275287	0.649531324938841	0.671631792362914	0.253296986744077	0.278803187563384	0.977001359925103	0.483620618770375	0.463005171702707	0.122681038057192	0.28684960032512	0.721436068317402	0.885369454593236	0.900521244063859	0.0640627840617471	0.725359990021849	0.964283270677162	0.70081066390036	0.777295923663	0.252122867909962	0.310221185470137	0.977704082416954
3	MaxBin2	0.267714229658388	0.224322224375462	0.14837800681596	0.0956294524258081	0.656055752302597	0.773434552592427	0.71126950893785	0.139442396575166	0.591899938448592	0.996624994977908	0.280199230215808	0.245545013081349	0.150597609249879	0.106996630196349	0.695935533550466	0.396749623966797	0.361037976680285	0.167408196006722	0.184118236339617	0.800585326902758	0.984477968256403	0.985984551914713	0.00889220429633225	0.966686324924104	0.999456192238989	0.338295022190649	0.308804151705036	0.155693844222176	0.118472537960019	0.696244079990221
4	MetaBAT2	0.324876803881997	0.242943656781509	0.19089793642232	0.134214859574713	0.681062476896288	0.50641519559208	0.511734642463354	0.134754366210473	0.276788851814224	0.755934624977605	0.595539062020896	0.589390355819526	0.254564585963472	0.230300882620609	0.934089477593306	0.518481079079272	0.448097680428058	0.162434878156822	0.332777085786156	0.816790496019214	0.913137769863227	0.932605180551606	0.06230116536809	0.720229016213069	0.981985259438534	0.626296697597605	0.630863406512067	0.262151753871519	0.242765519357537	0.941773208546951
5	MetaBinner	0.419599399234425	0.361740550542883	0.247781198979254	0.145559342778076	0.86004391926978	0.938630185112385	0.939387950215241	0.0348969917197406	0.882582789848797	0.989858841129772	0.427952949345796	0.381962887431431	0.245815872340094	0.15143391120448	0.856822291269538	0.553509924956048	0.537893900240952	0.228641646205072	0.260683896354571	0.917305138247254	0.996232788847878	0.995824219726011	0.00206828321582427	0.992144567610705	0.999760514551504	0.441343970362487	0.397886429362615	0.247044046365477	0.154967737512818	0.871393416585291
6	SemiBin2	0.520372871286036	0.478482555230762	0.246272708266993	0.2260759009901	0.933775363715043	0.767141391547272	0.74062171213431	0.0947422296291816	0.634750679643374	0.959123475886234	0.548312235850387	0.531629594839134	0.243620083416246	0.23599585745169	0.891261430368597	0.616871144018586	0.597085912515322	0.197065944408411	0.365215169993325	0.922422871359608	0.988310162441241	0.989048812842788	0.0044189102900478	0.979053718500895	0.995123170489033	0.664147800950565	0.699568443086701	0.261102154716168	0.277397159593317	0.973571586132047
7	binny	0.426097546154152	0.37945460439812	0.229145905822464	0.163789701046131	0.874052467640579	0.969251840303086	0.973491390048596	0.0214843663732747	0.899518754749413	0.992739773749381	0.432012310821155	0.385908970427504	0.230390517554524	0.164874963587491	0.878655364611045	0.564912058190658	0.551924875370926	0.214840793337683	0.282587038543109	0.930028888650293	0.997232739424184	0.99756771312161	0.00176033220214451	0.991598582334795	0.999046970800924	0.439000501827523	0.391713185835397	0.233440992743344	0.16579828592161	0.884862908461589
8	concoct_metabat_metabinner_semibin2	0.459647102927114	0.359172606309676	0.273348564782682	0.161579413185729	0.906537087733526	0.917588121811965	0.92356179633417	0.0375995401483061	0.859985020941328	0.973679814047618	0.473828147161959	0.378763211113526	0.271010327777639	0.176475724968762	0.911495956416729	0.586233385176398	0.533579815321305	0.23273842867744	0.293087868009584	0.93539305939733	0.994504285584604	0.994606010273223	0.00242666477715795	0.988512968940273	0.998333331329575	0.495481709816268	0.397249018419469	0.282604242422855	0.185493593113909	0.943742296133243
9	metabat_semibin2_comebin_concoct_binny_maxbin	0.479508496540042	0.401486973501683	0.272754747551183	0.182355980230889	0.898605584259613	0.932152548399241	0.926736916328305	0.0357034181462374	0.880042186575788	0.980971584805177	0.493826132246048	0.421950290307439	0.270411166818944	0.186098719427656	0.898941256071121	0.60764444673068	0.579121063778617	0.229329986478571	0.312406257452305	0.938166716499247	0.995882777205267	0.995328481322648	0.00200792334437403	0.992239422423487	0.99884336864177	0.510478651030921	0.433157464081306	0.279830643399175	0.187540053712882	0.939408701398839
