	Tool	accuracy_bp_Mean	accuracy_bp_Median	accuracy_bp_SD	accuracy_bp_Min	accuracy_bp_Max	precision_weighted_bp_Mean	precision_weighted_bp_Median	precision_weighted_bp_SD	precision_weighted_bp_Min	precision_weighted_bp_Max	recall_weighted_bp_Mean	recall_weighted_bp_Median	recall_weighted_bp_SD	recall_weighted_bp_Min	recall_weighted_bp_Max	f1_score_per_bp_Mean	f1_score_per_bp_Median	f1_score_per_bp_SD	f1_score_per_bp_Min	f1_score_per_bp_Max	rand_index_bp_Mean	rand_index_bp_Median	rand_index_bp_SD	rand_index_bp_Min	rand_index_bp_Max	percentage_of_assigned_bps_Mean	percentage_of_assigned_bps_Median	percentage_of_assigned_bps_SD	percentage_of_assigned_bps_Min	percentage_of_assigned_bps_Max
1	COMEBin	0.615650286734687	0.651136302984713	0.232967941803873	0.21678674806588	0.92980375624704	0.807273965374384	0.806893019506125	0.116712312855982	0.56195322292839	0.986891384332542	0.650153124269274	0.729219523525107	0.227983189548379	0.208982583682744	0.941891557306785	0.704419133526123	0.731445542793843	0.185456147990183	0.322038131357998	0.948903949626655	0.9908775084401	0.992888917268867	0.00795972715746611	0.959988055558993	0.997670569482612	0.744707092338663	0.863593241574995	0.218219628650687	0.345205504703971	0.972218620681423
2	CONCOCT	0.335886146133428	0.313707729157607	0.135194537468282	0.119280182177811	0.575080372098792	0.441814394068253	0.436675601814221	0.107889476954205	0.272803396324546	0.604717654955784	0.71097072220346	0.814434945047412	0.223437305255794	0.324907135156682	0.957035268192302	0.527277364462241	0.519032621881752	0.12217693827615	0.31767694887957	0.736081895522443	0.92058263272996	0.947075151145953	0.0568580253419419	0.804161670674933	0.969960925328688	0.752412191367726	0.870350519667618	0.21468344984086	0.370112226593306	0.973119507288076
3	MaxBin2	0.303694060850874	0.287495194220932	0.137860452999228	0.10066644676172	0.597626191549415	0.769999983287518	0.754401787512295	0.123928801957245	0.573992328955923	0.967744099803983	0.316441088385087	0.300054696672041	0.131913806590163	0.128005195638341	0.593682728643595	0.439565923231162	0.43066106285549	0.145277302383933	0.209328374499258	0.713255501606473	0.98667630463085	0.98682502370208	0.00520324962937289	0.977962503145894	0.996834335017938	0.383300000593263	0.378109835072458	0.140186745270851	0.17537942875444	0.669127921756144
4	MetaBAT2	0.374797477269498	0.366557664912161	0.170539335196872	0.132284960948391	0.698403321591885	0.527682750711134	0.529759950389971	0.101830728499643	0.360876586290586	0.77133070169534	0.65761318108458	0.734037151239862	0.228177525079128	0.277648405516198	0.931997899700048	0.571309063504652	0.583578197015152	0.14355295399936	0.341622083880051	0.823782271177217	0.931922819896345	0.937242833184668	0.0486630657403117	0.737926775580272	0.9710029096426	0.689083719061783	0.806210207952567	0.232911454082835	0.307321591414616	0.94773993781571
5	MetaBinner	0.465345593591087	0.439169411190906	0.222153845909745	0.127543376496065	0.865745780579351	0.946946320837942	0.947902867005278	0.0223738864452499	0.897071342666146	0.986609767836208	0.474882000072866	0.45280799418077	0.221732809116323	0.13205681134948	0.865849952583449	0.604983642304527	0.610579766178357	0.206304944218374	0.230931916933569	0.922293760326216	0.997189106736843	0.997245229398404	0.00125325522453657	0.994563081096471	0.999115732253771	0.487559541818241	0.466964429750697	0.224976521711476	0.138775196456674	0.877495651069894
6	SemiBin2	0.584686119593925	0.597079107852845	0.222430419831973	0.223591700918949	0.882694743774328	0.787773870241391	0.761823301870889	0.0953344134734073	0.645984056073589	0.955704782163498	0.620772433386089	0.641862575226753	0.219530018225728	0.251789363133151	0.915250959055809	0.68020482514147	0.680692033182073	0.177261633904697	0.363211724795786	0.935040524132671	0.991400950489422	0.99165279235868	0.00308626930976738	0.985640546900403	0.995161139302487	0.72748930234354	0.841671378645783	0.224538089822483	0.331640067833231	0.969622310059151
7	binny	0.488587559594702	0.478780114652231	0.234053756909277	0.131794305018265	0.87532516272785	0.975274480740815	0.979570455730158	0.0116454020700821	0.95037131965232	0.993517235344164	0.492608867693119	0.481736394098676	0.233220930883349	0.135043207819677	0.875804202346374	0.62349780370555	0.645393282800147	0.213849592848896	0.237061774782689	0.925179624915306	0.998083706579615	0.998320391939805	0.00104432624271557	0.995425739585238	0.999510888975422	0.499708193160483	0.488810774335684	0.237238001500967	0.135956654889337	0.892774467623464
8	concoct_metabat_metabinner_semibin2	0.504522322670125	0.48706858370146	0.236317751481399	0.137872374319603	0.927398439259863	0.932362795811993	0.928486133063524	0.0254287275275423	0.890840794183346	0.987376829596042	0.518084415703475	0.513443878043059	0.234668372964491	0.148662782805516	0.927546373621605	0.637413723272679	0.656182844942937	0.207480912233865	0.255438046854991	0.956526920923955	0.995702078235815	0.99560372559732	0.0015124797347453	0.993407183607024	0.998458015032332	0.537181281138788	0.534674241002174	0.240892127585644	0.152080680490674	0.939254812814762
9	metabat_semibin2_concoct_binny_metabinner_maxbin_comebin	0.530406635653488	0.524817326938967	0.242968937727015	0.146606160184047	0.926533901789499	0.942945866958004	0.943830913008125	0.0227876828996295	0.900921256177043	0.986562371724769	0.540822031426596	0.536139248148539	0.240929134140495	0.155031038416901	0.926706268301664	0.657292448957156	0.683836130080464	0.210725570512106	0.265476923383659	0.955698028830148	0.996806980079322	0.996878812245637	0.00114523430375679	0.993936779467011	0.998437172174362	0.559698358367099	0.556724364126308	0.248920690333646	0.15881702369541	0.939153902828947
