	Tool	accuracy_bp_Mean	accuracy_bp_Median	accuracy_bp_SD	accuracy_bp_Min	accuracy_bp_Max	precision_weighted_bp_Mean	precision_weighted_bp_Median	precision_weighted_bp_SD	precision_weighted_bp_Min	precision_weighted_bp_Max	recall_weighted_bp_Mean	recall_weighted_bp_Median	recall_weighted_bp_SD	recall_weighted_bp_Min	recall_weighted_bp_Max	f1_score_per_bp_Mean	f1_score_per_bp_Median	f1_score_per_bp_SD	f1_score_per_bp_Min	f1_score_per_bp_Max	rand_index_bp_Mean	rand_index_bp_Median	rand_index_bp_SD	rand_index_bp_Min	rand_index_bp_Max	percentage_of_assigned_bps_Mean	percentage_of_assigned_bps_Median	percentage_of_assigned_bps_SD	percentage_of_assigned_bps_Min	percentage_of_assigned_bps_Max
1	COMEBin	0.361311710881979	0.372135469720157	0.0559564415687727	0.203704687888554	0.43582176375	0.891316893851357	0.896841904689714	0.0427203961715175	0.787355765735607	0.951417393219407	0.369003891033062	0.375436582159054	0.0567174357312478	0.234481799274258	0.469294759705343	0.519273242442364	0.526844736690911	0.0581273325736283	0.363039187316535	0.615126795962186	0.988265668650391	0.993416110196735	0.0144691052061814	0.931500775092392	0.996696064588467	0.405013215552599	0.407979663085768	0.0596430504341757	0.253474595107674	0.496011345877121
2	CONCOCT	0.322188597513364	0.311069699478852	0.0467164969895421	0.243160989449233	0.431887671338784	0.789954716260609	0.764947299570993	0.0814430700688072	0.680168498004093	0.950371791943389	0.377141465948356	0.384033825869165	0.0518908610997898	0.246152692213182	0.463611082270555	0.506269320732115	0.499643619507564	0.0472276674293918	0.391026808540793	0.596694245135106	0.983325647862979	0.986639425007023	0.00879975142174954	0.966890712019066	0.993647357530794	0.410483943342497	0.416668628991748	0.0597583843395741	0.255858803376308	0.503056053424673
3	MaxBin2	0.291432489212304	0.276262444025535	0.0508815358847873	0.21816717254365	0.400804254862552	0.789874249742023	0.781962600506002	0.0412563754495549	0.719629528739303	0.8621152924308	0.305623506328845	0.294251328010493	0.0509189430334672	0.230893854471595	0.418974349649959	0.438783377988917	0.431177176934296	0.0548153755630712	0.363495416151802	0.563901513375453	0.983044231859558	0.985943117715762	0.00688636192823841	0.965797679570009	0.99011441130518	0.368548480073467	0.350060792514645	0.0571538760680494	0.255503913483131	0.468833604098069
4	MetaBAT2	0.30440447024003	0.297151871417327	0.0452197060677986	0.210083264955087	0.395876851539682	0.852927075960078	0.835559249786319	0.0673668168610655	0.724695864722064	0.980639914692585	0.334004726172227	0.341883023741491	0.0510215526246701	0.204434769685624	0.410480994658896	0.476551089489176	0.478491455451525	0.0533232077440167	0.335730566570771	0.567060947482225	0.983490687273823	0.983100181531921	0.00755263387561604	0.965118135345174	0.996347835042154	0.358514913562071	0.365432170951702	0.0544770416859586	0.223869366439565	0.44075838665359
5	MetaBinner	0.290505286351592	0.289113569594548	0.0453453723075761	0.183113329385302	0.379253586515033	0.9551415394424	0.956006545929456	0.0151671006254816	0.926779640045788	0.982061689294044	0.295831754163393	0.292611511831134	0.0460089236612448	0.184103798861586	0.388166331529664	0.449837681229317	0.447770579745945	0.0543177201510971	0.310078268567885	0.551363629635776	0.995854114886331	0.996403111330742	0.00183500858213255	0.991611942450017	0.99779415674173	0.304202326026536	0.303256201656608	0.047143607500726	0.186458072218389	0.39865430741048
6	SemiBin2	0.366820220025847	0.366166471684058	0.0495930455938905	0.240124223129552	0.450034335542826	0.925773802973198	0.932149182184501	0.0292075726824482	0.86652823118477	0.967101000338565	0.36249541470368	0.365446914043097	0.0510280526278457	0.233487184964028	0.452834881274995	0.518585711088212	0.520358870587508	0.0530843819189416	0.376158441186119	0.613535340949495	0.994057819684899	0.99437116943684	0.00263145046037531	0.985969284832569	0.997347257525345	0.397065865356539	0.403306535418488	0.0576695628666137	0.248292808140503	0.487427790663155
7	binny	0.304089780098086	0.307879804472465	0.0457142600986646	0.188042181698744	0.395339909134586	0.97838041526237	0.977640459863192	0.00805098428385098	0.960582213489266	0.992931772503449	0.306492594036877	0.310374508772416	0.0462182330700802	0.188061140476236	0.396690046722859	0.464800041563573	0.470676439196977	0.0545303696000925	0.316139293362068	0.564059436486106	0.997590827403144	0.99796632421266	0.00121854655193482	0.994690492566602	0.998995072309582	0.310992250718064	0.316282362689817	0.0477152902949042	0.18971681742272	0.405170355423681
8	concoct_metabat_metabinner_semibin2	0.302248102235036	0.300529150033222	0.0425703925595654	0.208964543570656	0.378800171804528	0.956959755946464	0.957240021784177	0.0201157297829522	0.919917912380612	0.992303372225594	0.307371871701368	0.305069839022542	0.043342990678322	0.212269641834613	0.385042453653919	0.463613115627698	0.463962163180089	0.0503418707238024	0.348659593832806	0.548857089579247	0.995410672834437	0.996333308179961	0.00380780200536161	0.980563449405911	0.99897118019045	0.315955150437689	0.315823406013187	0.044484808266681	0.21424398743096	0.396535440014023
9	concoct_semibin2_binny_comebin	0.314334408066876	0.320038630517718	0.0463259956431245	0.213149866403559	0.40076883357653	0.968386214715193	0.967749565351577	0.0168880762743702	0.93702636160541	0.996784854352398	0.32019006658024	0.325697291619389	0.0481300194528348	0.21567096165106	0.411365675586766	0.479121197661604	0.486174990326706	0.0543112626213181	0.353839320327212	0.576879432127055	0.997567683169757	0.997385798180702	0.0008359128392707	0.996555365911212	0.999532055465775	0.324926676757251	0.332326712574973	0.0496252852586607	0.216472925614615	0.415197219895193
