	Tool	accuracy_bp_Mean	accuracy_bp_Median	accuracy_bp_SD	accuracy_bp_Min	accuracy_bp_Max	precision_weighted_bp_Mean	precision_weighted_bp_Median	precision_weighted_bp_SD	precision_weighted_bp_Min	precision_weighted_bp_Max	recall_weighted_bp_Mean	recall_weighted_bp_Median	recall_weighted_bp_SD	recall_weighted_bp_Min	recall_weighted_bp_Max	f1_score_per_bp_Mean	f1_score_per_bp_Median	f1_score_per_bp_SD	f1_score_per_bp_Min	f1_score_per_bp_Max	rand_index_bp_Mean	rand_index_bp_Median	rand_index_bp_SD	rand_index_bp_Min	rand_index_bp_Max	percentage_of_assigned_bps_Mean	percentage_of_assigned_bps_Median	percentage_of_assigned_bps_SD	percentage_of_assigned_bps_Min	percentage_of_assigned_bps_Max
1	COMEBin	0.26211397698374	0.257942048997229	0.0251493569893743	0.226190588236756	0.315247962391869	0.867827032994491	0.87850635954455	0.0447783223345288	0.784213342284271	0.943569779039121	0.268889565700056	0.273933724445128	0.0299335209727267	0.21646174419345	0.335252164199337	0.409717778221156	0.410186512524113	0.0367149384132494	0.347962785579959	0.487627018534649	0.986139085765281	0.985807065771648	0.00519105517207959	0.977130697299181	0.994895040671812	0.301947704953324	0.305087225787264	0.0228875287858256	0.257396676705536	0.354028874613383
2	CONCOCT	0.226183153603415	0.22401891726288	0.0269937148973358	0.189083105087289	0.282621174802392	0.746004598883702	0.741416186990115	0.0651862695033639	0.628875340520758	0.866856391703167	0.280797341197158	0.278759215404362	0.0206892121282218	0.24317731752321	0.326454388269664	0.40717122743495	0.408969152960816	0.0253557182054986	0.369622696399624	0.466848513555215	0.975735107573808	0.97441290802111	0.00936794135426719	0.958163393314881	0.989426878054725	0.303090235658995	0.30682130464359	0.022841623488347	0.258343566093451	0.355912878973738
3	MaxBin2	0.198546164221644	0.187560384550778	0.028903001001202	0.163923334531849	0.262344847654913	0.795850199999226	0.803245288546392	0.0481547697969331	0.707962815002572	0.891177983467509	0.208319783734611	0.204997476006653	0.0252942018288365	0.172961881031795	0.263177654248742	0.329469458325055	0.323992413252647	0.0330014072518216	0.285553037909238	0.40175798383315	0.981108021482331	0.981201527747156	0.00476812840938344	0.971436699668983	0.990137065863562	0.249368620671285	0.241817984451856	0.031117472683679	0.196043395764752	0.311865725440483
4	MetaBAT2	0.227090490179216	0.221800737052734	0.0278218707518241	0.18636787179635	0.284898439701818	0.810940320970175	0.805871372053788	0.0753542541440056	0.685263172015902	0.959984266338481	0.267194009199148	0.265429805335938	0.0221783537037644	0.230434260187663	0.315741869303736	0.400950265421006	0.398827569696833	0.0275758503264965	0.365131440603693	0.459734793477865	0.976448500187493	0.977962574319426	0.01391771583214	0.936585652186772	0.995292708981293	0.280033370137928	0.284733421300583	0.0214437332469973	0.240863592750592	0.326128360216776
5	MetaBinner	0.184933561820536	0.179588020601491	0.0211452500727535	0.14997914825531	0.23536987081694	0.944567937654625	0.943846263552357	0.0247955227997016	0.896233123304931	0.982140922620883	0.189276612116166	0.183276136547364	0.0205886075332578	0.156229970466229	0.237853233289557	0.314901443216349	0.307620907802695	0.028744974810889	0.267103167265829	0.38296149675739	0.994850538283294	0.995241815073735	0.00221297911484806	0.990543171309025	0.998564012661577	0.195742675568503	0.190977049038196	0.0211788497913453	0.163015780986471	0.239649795050639
6	SemiBin2	0.263031883259909	0.258099593233874	0.0256934921221395	0.233263834238437	0.324288602315158	0.888856702884063	0.876575826860928	0.0442242927121342	0.832515436706744	0.962358100718203	0.255118546370405	0.251968470024989	0.0237596753338923	0.227578378929869	0.303943306636307	0.396088245738056	0.388328439996457	0.0313678873982891	0.361078897165398	0.46071494953211	0.988504326734133	0.987540654180231	0.00427692553951804	0.982007498385622	0.995559282757166	0.2958336451359	0.299086605905782	0.0229486110787754	0.252466452951527	0.348645111526023
7	binny	0.201480059876155	0.195464897698531	0.0251548247778148	0.164025772612193	0.253480470753234	0.970702989319267	0.969681093959456	0.0136231912062075	0.947632306405486	0.995971799545497	0.204155402305736	0.198382063799698	0.0247008802314139	0.166539711042591	0.254225875327977	0.336761230889136	0.329015505321782	0.0339336073265221	0.283292719637429	0.404600127291392	0.99651457341496	0.996830403273843	0.00224911198944974	0.990854247404954	0.999519878743464	0.207422663120902	0.203392895293763	0.0244767129184186	0.173059778837002	0.255924597090721
8	concoct_metabat_metabinner_semibin2	0.212982976800502	0.207893584858854	0.0248307434705911	0.166387908306959	0.268696761501933	0.930185375493026	0.929586967645063	0.0325373578542029	0.872611935808477	0.985505602086954	0.220179823274076	0.212071292352346	0.0245483336702479	0.173581519671836	0.275327000291175	0.355536582995147	0.346438364726714	0.0329675089271553	0.291741369411984	0.427127987415274	0.992235721219889	0.992123368061789	0.00402234631784943	0.984986122202733	0.998550658554259	0.22878258150742	0.225186527209473	0.0233224557333919	0.182095773725613	0.282237050095967
9	metabinner_semibin2_metabat_comebin_binny_concoct	0.226596220370589	0.217887774393698	0.0245484703915301	0.187525672840693	0.273376666113411	0.932288438492197	0.932573281770664	0.0378762437855956	0.861316217823908	0.988290133512195	0.23397026217708	0.230404098558417	0.023979224117477	0.1975184592426	0.282439664651899	0.373597551991757	0.367752430462552	0.0319152925356494	0.323814470597692	0.434782370476887	0.993230087985575	0.992493334231436	0.0038133588600891	0.986213295447706	0.998842933916627	0.242837839328499	0.238031070368828	0.0217016365042037	0.208820767072127	0.289621617181534
