	Tool	accuracy_bp_Mean	accuracy_bp_Median	accuracy_bp_SD	accuracy_bp_Min	accuracy_bp_Max	precision_weighted_bp_Mean	precision_weighted_bp_Median	precision_weighted_bp_SD	precision_weighted_bp_Min	precision_weighted_bp_Max	recall_weighted_bp_Mean	recall_weighted_bp_Median	recall_weighted_bp_SD	recall_weighted_bp_Min	recall_weighted_bp_Max	f1_score_per_bp_Mean	f1_score_per_bp_Median	f1_score_per_bp_SD	f1_score_per_bp_Min	f1_score_per_bp_Max	rand_index_bp_Mean	rand_index_bp_Median	rand_index_bp_SD	rand_index_bp_Min	rand_index_bp_Max	percentage_of_assigned_bps_Mean	percentage_of_assigned_bps_Median	percentage_of_assigned_bps_SD	percentage_of_assigned_bps_Min	percentage_of_assigned_bps_Max
1	COMEBin	0.097210983272867	0.0951546237662893	0.0167153188146596	0.0643165923194858	0.127292133884914	0.388471847060847	0.362550999276291	0.0945048960450798	0.25161133078619	0.588767958540582	0.123646276688769	0.132435656590676	0.0440396965404574	0.039272762227385	0.20090945696	0.181980182129108	0.19376852131369	0.0538052299369063	0.0734749789726003	0.25468630188276	0.930514397840762	0.92564260657436	0.0318433730617493	0.875912795576817	0.969699747530361	0.256939464792238	0.255618823359507	0.0392542038558821	0.136747669040647	0.32456301466007
2	CONCOCT	0.0663546314862771	0.0665644661138567	0.0114507725691719	0.0422679537176874	0.0987402093638929	0.252717862880401	0.236925511778227	0.0603050313802477	0.147841411582458	0.409202168873396	0.208364280437715	0.204596213815516	0.0167720711586891	0.18840866558476	0.247866866704851	0.224153771642667	0.223110531477019	0.0192071939644044	0.174819295191824	0.269606123021338	0.865873462400816	0.876141069161341	0.0234497237784095	0.82045667623103	0.891156172009437	0.266985247088095	0.259426414876464	0.028217632909228	0.219220254808328	0.328067381348162
3	MaxBin2	0.053532298574747	0.0491390327568894	0.0229333804474898	0.0241807542301763	0.125219754129687	0.425556570198774	0.404984209725046	0.0747827029489494	0.291327034974133	0.582237132764795	0.0630702186934656	0.0603892235511471	0.0199586693290201	0.0292334309678348	0.127032427452158	0.109510497977019	0.10626041668616	0.0319148433012339	0.053134991184609	0.208154800197412	0.943234113899759	0.941863249386651	0.00822045183825671	0.929128146941664	0.96078226936249	0.12187904952799	0.121416565682239	0.0299424223871067	0.0830020949903374	0.217410056770509
4	MetaBAT2	0.060734768021232	0.0634831904832728	0.0170040562218725	0.0354298391760366	0.098909612247694	0.300650279262941	0.291856263206972	0.0950337873228744	0.182943605012076	0.520975352721154	0.197053680170121	0.195305231459872	0.0189245642171892	0.16776928775151	0.240367474997644	0.231124184002148	0.23142256779227	0.0244806262401847	0.186883612228398	0.281802112621059	0.778544852023299	0.79012772803833	0.0697071460941475	0.649076233561616	0.857013727214829	0.204677929246869	0.200689412557234	0.0211772262295151	0.172879562158839	0.244765014158698
5	MetaBinner	0.0350312660897203	0.033436446049083	0.0136500444781867	0.0141016076784424	0.0694448758852764	0.625199971839196	0.617678040444038	0.107097726000091	0.460774342946672	0.797636825407129	0.0430900725037981	0.041712940775146	0.0131705039738488	0.0230727571535993	0.0720940186142777	0.0803160057139894	0.0783808297074408	0.023370323120089	0.0440595795293389	0.132123286563381	0.930198787022591	0.936450814373425	0.0225979700107673	0.880756507859473	0.95735092571983	0.0554441203470582	0.050828460869774	0.0170790927999448	0.0289354012828278	0.0925200774389948
6	SemiBin2	0.0900320269087626	0.0858675982550324	0.0152992895124709	0.0627889020951067	0.130924894532065	0.402628410087361	0.392118768008363	0.0740638945640608	0.301636235925441	0.590385392799981	0.101661168716741	0.102289051571408	0.0158399996477448	0.0773324910941817	0.135680880929193	0.16204535178423	0.159401329305731	0.0251102199390733	0.123103991782303	0.22065206188797	0.946157657700376	0.950620548226974	0.0110509800011025	0.915119290964055	0.96065230984889	0.224853811906159	0.221366188823147	0.0206217046437303	0.199788108197855	0.266313567746527
7	binny	0.0249393156005211	0.0263432062590941	0.0121682514110654	0.00977980030343397	0.0569631645288593	0.956726328822818	0.955070060340279	0.0444223235938432	0.826150693501134	1	0.026209230801745	0.0265706614615281	0.0131785495885773	0.00980912281078268	0.0586680710163996	0.0506693209597261	0.0517543034209656	0.0246589148317039	0.0194268782774416	0.110533780462235	0.975704593149536	0.982511786827455	0.0267703495246435	0.88879139814702	1	0.0263813704363851	0.0265706614615281	0.0133912176785084	0.00982120159059613	0.0597526248037649
8	binny_concoct	0.0211327673571688	0.0192546299513223	0.0126805145669399	0.00545803173208293	0.0644968438777914	0.955044450611597	0.983513943637288	0.0585002121493952	0.815472311182565	1	0.0223000405818558	0.0198214670241631	0.0147380227262583	0.00561510017365802	0.0744847260024516	0.043118652053705	0.0388482911822061	0.0269590488782758	0.0111656995772942	0.137018574721455	0.971012768498703	0.98777703690336	0.0380091120157676	0.849881623861359	1	0.0226112936389814	0.0198700724572666	0.0151525219980326	0.00561510017365802	0.0755251471152576
9	concoct_metabat_metabinner_semibin2	0.0355794892031386	0.0319930870869784	0.0163945950696515	0.0166358472323163	0.0896786650929036	0.659836527791663	0.663704879983334	0.124344286475288	0.388727860859035	0.921410966701938	0.0469032870017421	0.0427799873095679	0.0179131059417477	0.0265990177701223	0.106425244429212	0.086706329387427	0.0810001549335653	0.0298955166150105	0.0510220794540557	0.184624615546823	0.908681596076487	0.899113941502112	0.0416564076395407	0.842705890932644	0.982228581368497	0.0543964298274792	0.0476449594201787	0.0234287497111368	0.0266729650367141	0.128825626332714
