	Tool	accuracy_bp_Mean	accuracy_bp_Median	accuracy_bp_SD	accuracy_bp_Min	accuracy_bp_Max	precision_weighted_bp_Mean	precision_weighted_bp_Median	precision_weighted_bp_SD	precision_weighted_bp_Min	precision_weighted_bp_Max	recall_weighted_bp_Mean	recall_weighted_bp_Median	recall_weighted_bp_SD	recall_weighted_bp_Min	recall_weighted_bp_Max	f1_score_per_bp_Mean	f1_score_per_bp_Median	f1_score_per_bp_SD	f1_score_per_bp_Min	f1_score_per_bp_Max	rand_index_bp_Mean	rand_index_bp_Median	rand_index_bp_SD	rand_index_bp_Min	rand_index_bp_Max	percentage_of_assigned_bps_Mean	percentage_of_assigned_bps_Median	percentage_of_assigned_bps_SD	percentage_of_assigned_bps_Min	percentage_of_assigned_bps_Max
1	COMEBin	0.263763929588533	0.268777741220776	0.0240649800696921	0.224809215109402	0.294102086736	0.873123605387824	0.874818665326578	0.0235284439926797	0.838676701663327	0.92371097827323	0.270428975465199	0.27706824856977	0.0267200826799492	0.213905672082413	0.302274588819316	0.412078015199896	0.420892762429101	0.0309310509390914	0.347370122537621	0.447345045302075	0.996832696775279	0.996838086281899	0.000368752402706977	0.996335235291034	0.997497111400912	0.30240825628305	0.30418560680722	0.0297973794250224	0.24337614296807	0.341914716012683
2	CONCOCT	0.225961059110982	0.229725312100071	0.0167764056945135	0.199122756738124	0.246576503674484	0.71785176344867	0.709118224153293	0.0232688792831187	0.686338691093591	0.748266259881044	0.289925069921273	0.289877110124243	0.0209856667373828	0.259467211589834	0.320425565888939	0.41256994449958	0.414132813685121	0.0217237900458996	0.379027624832408	0.439663494090012	0.987840654419007	0.988646280887807	0.00214178174226739	0.984434212209967	0.990418428541548	0.31483176632983	0.312660595173541	0.0222723383905359	0.28327377216879	0.352131936035972
3	MaxBin2	0.162591776860622	0.163573449329341	0.0170943496229837	0.139485626578343	0.186967572200657	0.725659976391545	0.736538085044379	0.0347595470087463	0.680252462676315	0.787965998888763	0.187274609027869	0.190281302982287	0.0170383393929184	0.163147020618101	0.209344261697383	0.297529866446166	0.300151426390434	0.0238082371574505	0.263438647978932	0.327966457524329	0.99091442979875	0.990986914653936	0.000974574152931523	0.989263443559193	0.99236422281803	0.223720207614512	0.227105127726736	0.0164986764193012	0.200597292629275	0.241500938058911
4	MetaBAT2	0.197902938252968	0.198953889004552	0.0191781258969564	0.166335358993809	0.226125103665413	0.732348942116759	0.741934821568683	0.0436689718213639	0.681212664784159	0.801989828178869	0.254103209673319	0.25635162226872	0.0208753891986357	0.219764791089093	0.282587004363836	0.376662037100546	0.378475221958771	0.0241651134438943	0.339335805872791	0.408217193861663	0.980597818142348	0.984641384862848	0.00722981616045903	0.969079028005678	0.987765104897492	0.270250876440934	0.268977602886013	0.0211447648533444	0.240507851113274	0.303122724910989
5	MetaBinner	0.183769184286451	0.189745683204275	0.0242393711259677	0.136607134805526	0.216516149285019	0.916512187834393	0.913376530566222	0.0218108380345715	0.886926352443198	0.950137185783845	0.190544428808982	0.197363427787795	0.0246367179562806	0.140296066194757	0.222710979266125	0.314740087283964	0.325025593520261	0.0342122108027336	0.244187594163501	0.357351754367933	0.996757598758666	0.996610317049285	0.000757280154106713	0.995553778417349	0.997874220488221	0.200685136890356	0.206113111347568	0.0273592703275496	0.145164298333825	0.239597207280814
6	SemiBin2	0.25804779317499	0.262311624732159	0.021891344210644	0.225110558821285	0.285719611083583	0.874732742486903	0.877071042653323	0.0219077469947749	0.840312846822372	0.914621645056848	0.266056335792847	0.26785567204363	0.0213591059099225	0.232439005066394	0.292690181406979	0.407696228595614	0.413024754019741	0.0266178220319397	0.364150351669873	0.439645786600881	0.996411610520253	0.996611666259602	0.00067893117771653	0.995135219146797	0.997129165794039	0.294810616104423	0.293849738156854	0.0213876567405189	0.263058406477183	0.326923720735477
7	binny	0.187946911311676	0.189060226428549	0.0249453221352159	0.141143692236634	0.220717063829657	0.964926959248329	0.964743762800547	0.00966927584804838	0.949511474245456	0.977414271681712	0.190736879855321	0.192165928084186	0.0251395072283604	0.143681495275929	0.223826476953559	0.317811468513532	0.320263670402865	0.0353685602027882	0.250075258593096	0.362258474449179	0.998107735032806	0.998112527946598	0.000487317000162168	0.997254611162916	0.998707225377035	0.194799405312527	0.196663135974961	0.0260139837091728	0.146472426618355	0.232453287628834
8	concoct_metabat_maxbin_binny_comebin_semibin2	0.199657769439267	0.201658800919063	0.0265973072939531	0.157085378756997	0.22940749772197	0.938186471523848	0.944872561600981	0.0214487337054197	0.890011816046362	0.972316713236632	0.207764220615391	0.209029215829683	0.0267969898125468	0.170877972057584	0.238267064777718	0.3394399218245	0.342524632819006	0.0362813491946906	0.286709167980772	0.380591231983281	0.997546117423208	0.997655794746862	0.00096899251969611	0.995387729262623	0.998955290432018	0.212767879219384	0.212735253039089	0.0278717328306855	0.176498082300533	0.242738868650378
9	concoct_metabat_metabinner_semibin2	0.190257803301188	0.195423621338752	0.0292397800576007	0.142211414315505	0.227864396498205	0.92741883444521	0.928855062185681	0.0289722582269065	0.878656805073469	0.968039956677376	0.19763798468949	0.201010092455708	0.0284433818801106	0.154728958928259	0.234908716337894	0.32499435430983	0.332006709223509	0.0392808404294275	0.263122751329137	0.376322340378967	0.996799852953869	0.996366953488308	0.00133660619352332	0.994464650668268	0.998583160408578	0.205020335919408	0.204957107280006	0.0304545392345991	0.161850922333224	0.24099395808202
