	ID	whole_task	module	simple_task	realtime_M	realtime_h	cpu	cpu_time	peak_rss_G	slurmID	raw_reads	raw_bases	clean_reads	clean_bases	effective_rate(%)	C(%)	lq_reads	host_reads	Group	cpu_hour
1	1240301004	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1240301004)	GENESET	BOWTIE2GENE	21.5666666666667	0.359444444444444	1121.9	403.260722222222	5.8	107673	43621144	6.54	43598418	6.53	99.95	42.81	19462	3264	HG	5.75111111111111
2	1240401004	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1240401004)	GENESET	BOWTIE2GENE	22.8166666666667	0.380277777777778	1227.2	466.676888888889	5.6	107671	46141126	6.92	46051416	6.9	99.81	43.29	20786	68924	HG	6.08444444444444
3	1240401005	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1240401005)	GENESET	BOWTIE2GENE	24.1833333333333	0.403055555555556	1125.6	453.679333333333	5.8	107674	49046928	7.36	49014534	7.35	99.93	43.09	27554	4840	HG	6.44888888888889
4	1241601019	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241601019)	GENESET	BOWTIE2GENE	21.5333333333333	0.358888888888889	1178.1	422.807	5.8	107672	42262416	6.34	42188074	6.32	99.82	44.46	14906	59436	HG	5.74222222222222
5	1241601021	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241601021)	GENESET	BOWTIE2GENE	26.2166666666667	0.436944444444444	1198.3	523.590527777778	5.8	107675	52261330	7.84	52236750	7.83	99.95	43.85	22162	2418	HG	6.99111111111111
6	1241601036	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241601036)	GENESET	BOWTIE2GENE	32.1166666666667	0.535277777777778	1205	645.009722222222	6.3	107678	62635094	9.4	62566490	9.37	99.89	42.65	35772	32832	HG	8.56444444444444
7	1241701022	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701022)	GENESET	BOWTIE2GENE	31.9333333333333	0.532222222222222	1163.6	619.293777777778	6.4	107677	60439198	9.07	60367720	9.05	99.88	47.64	32144	39334	HG	8.51555555555556
8	1241701160	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701160)	GENESET	BOWTIE2GENE	27.4166666666667	0.456944444444444	1198.3	547.556527777778	6.1	107676	58187590	8.73	57060636	8.55	98.06	44.89	28184	1098770	HG	7.31111111111111
9	1241701161	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701161)	GENESET	BOWTIE2GENE	24.7666666666667	0.412777777777778	1110.4	458.348444444444	6.1	107679	51854222	7.78	51780252	7.76	99.86	44.77	26472	47498	HG	6.60444444444444
10	1241701162	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701162)	GENESET	BOWTIE2GENE	27.0333333333333	0.450555555555556	1112.2	501.107888888889	6.1	107681	56633130	8.49	56531714	8.47	99.82	45.72	28142	73274	HG	7.20888888888889
11	1241701163	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701163)	GENESET	BOWTIE2GENE	33.4166666666667	0.556944444444444	1131.9	630.405416666667	6.4	107680	73579602	11.04	73486950	11.01	99.87	47.63	35094	57558	HG	8.91111111111111
12	1241701164	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701164)	GENESET	BOWTIE2GENE	29.4666666666667	0.491111111111111	1147.8	563.697333333333	6.3	107683	55385114	8.31	55354362	8.29	99.94	42.62	22482	8270	HG	7.85777777777778
13	1241701165	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701165)	GENESET	BOWTIE2GENE	27.3333333333333	0.455555555555556	1136	517.511111111111	6.4	107682	67287766	10.09	65539090	9.82	97.4	46.35	28452	1720224	HG	7.28888888888889
14	1241701167	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701167)	GENESET	BOWTIE2GENE	25.4	0.423333333333333	1172.3	496.273666666667	6.3	107684	53087786	7.96	52932964	7.93	99.71	44.16	21734	133088	HG	6.77333333333333
15	1241701169	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701169)	GENESET	BOWTIE2GENE	23.1333333333333	0.385555555555556	1125	433.75	5.8	107685	44462564	6.67	43913682	6.58	98.77	45.19	9770	539112	HG	6.16888888888889
16	1241701170	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701170)	GENESET	BOWTIE2GENE	29.0666666666667	0.484444444444444	1129.6	547.228444444444	6	107686	63809150	9.57	63395098	9.5	99.35	44.83	23116	390936	HG	7.75111111111111
17	1241701171	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701171)	GENESET	BOWTIE2GENE	26.4166666666667	0.440277777777778	1103.7	485.934583333333	6.3	107687	55091832	8.26	54881060	8.23	99.62	44.69	15740	195032	HG	7.04444444444445
18	1241701172	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:BOWTIE2GENE (1241701172)	GENESET	BOWTIE2GENE	21.0333333333333	0.350555555555556	1031.1	361.457833333333	6.1	107690	48451912	7.27	48420380	7.26	99.93	43.57	26118	5414	HG	5.60888888888889
