sampleID	task	realtime_M	cpu	peak_rss_G
as_sample_19	CONCOCT	87.41666666666667	1336.1	0.79892578125
as_sample_3	COMEBIN	198.43333333333334	696.2	14.4
as_sample_8	COMEBIN	225.36666666666667	703.8	14.2
as_sample_20	METABINNER	108.75	345.7	3.1
as_sample_13	COMEBIN	182.28333333333333	688.9	14.2
as_sample_12	BINNY	279.28333333333336	74.3	1.2
as_sample_7	COMEBIN	287.28333333333336	717.0	14.5
as_sample_10	COMEBIN	269.6	704.6	14.5
as_sample_11	COMEBIN	305.05	707.4	14.3
as_sample_19	METABINNER	236.88333333333333	512.1	4.4
as_sample_15	COMEBIN	252.13333333333333	715.9	14.4
as_sample_5	BINNY	346.9166666666667	72.6	0.74609375
as_sample_17	COMEBIN	270.75	691.6	14.7
as_sample_9	BINNY	376.3833333333333	76.7	1.6
as_sample_2	BINNY	315.81666666666666	71.1	1.2
as_sample_13	BINNY	353.3	76.3	1.3
as_sample_8	BINNY	420.2	76.3	1.5
as_sample_3	BINNY	453.8833333333333	79.7	1.8
as_sample_4	COMEBIN	447.1	742.1	15.1
as_sample_16	BINNY	394.51666666666665	49.7	0.812890625
as_sample_7	BINNY	510.6333333333333	79.8	1.8
as_sample_15	BINNY	450.3666666666667	79.5	1.7
as_sample_10	BINNY	520.75	80.6	1.7
as_sample_18	BINNY	512.7333333333333	55.8	0.82265625
as_sample_11	BINNY	622.6833333333333	81.4	1.6
as_sample_14	BINNY	633.2833333333333	53.1	0.89736328125
as_sample_20	COMEBIN	605.9833333333333	733.8	15.0
as_sample_1	COMEBIN	673.8666666666667	750.2	15.0
as_sample_17	BINNY	773.6833333333333	82.4	2.2
as_sample_20	BINNY	742.0666666666667	82.5	2.5
as_sample_4	BINNY	853.7833333333333	62.1	2.6
as_sample_1	BINNY	850.8833333333333	64.4	2.6
as_sample_19	COMEBIN	998.8833333333333	749.1	16.2
as_sample_19	BINNY	1576.4833333333333	88.8	5.0
hg_sample_12	MAXBIN2	19.366666666666667	849.3	4.8
hg_sample_10	MAXBIN2	27.083333333333332	776.4	2.9
hg_sample_11	MAXBIN2	26.333333333333332	781.3	3.0
hg_sample_14	MAXBIN2	49.53333333333333	609.7	1.5
hg_sample_13	MAXBIN2	53.7	666.3	1.5
