sampleID	task	realtime_M	cpu	peak_rss_G
as_sample_6	binny	190.4	4.0125	0.60654296875
as_sample_17	MetaBinner	95.81666666666666	40.1375	3.4
as_sample_19	CONCOCT	87.41666666666667	83.50625	0.79892578125
as_sample_3	COMEBin	198.43333333333334	87.025	14.4
as_sample_8	COMEBin	225.36666666666667	87.975	14.2
as_sample_20	MetaBinner	108.75	43.2125	3.1
as_sample_13	COMEBin	182.28333333333333	86.1125	14.2
as_sample_12	binny	279.28333333333336	4.64375	1.2
as_sample_7	COMEBin	287.28333333333336	89.625	14.5
as_sample_10	COMEBin	269.6	88.075	14.5
as_sample_11	COMEBin	305.05	88.425	14.3
as_sample_19	MetaBinner	236.88333333333333	64.0125	4.4
as_sample_15	COMEBin	252.13333333333333	89.4875	14.4
as_sample_5	binny	346.9166666666667	4.5375	0.74609375
as_sample_17	COMEBin	270.75	86.45	14.7
as_sample_9	binny	376.3833333333333	4.79375	1.6
as_sample_2	binny	315.81666666666666	4.44375	1.2
as_sample_13	binny	353.3	4.76875	1.3
as_sample_8	binny	420.2	4.76875	1.5
as_sample_3	binny	453.8833333333333	4.98125	1.8
as_sample_4	COMEBin	447.1	92.7625	15.1
as_sample_16	binny	394.51666666666665	3.10625	0.812890625
as_sample_7	binny	510.6333333333333	4.9875	1.8
as_sample_15	binny	450.3666666666667	4.96875	1.7
as_sample_10	binny	520.75	5.0375	1.7
as_sample_18	binny	512.7333333333333	3.4875	0.82265625
as_sample_11	binny	622.6833333333333	5.0875	1.6
as_sample_14	binny	633.2833333333333	3.31875	0.89736328125
as_sample_20	COMEBin	605.9833333333333	91.725	15.0
as_sample_1	COMEBin	673.8666666666667	93.775	15.0
as_sample_17	binny	773.6833333333333	5.15	2.2
as_sample_20	binny	742.0666666666667	5.15625	2.5
as_sample_4	binny	853.7833333333333	3.88125	2.6
as_sample_1	binny	850.8833333333333	4.025	2.6
as_sample_19	COMEBin	998.8833333333333	93.6375	16.2
as_sample_19	binny	1576.4833333333333	5.55	5.0
hg_sample_12	MaxBin2	19.366666666666667	53.08125	4.8
hg_sample_10	MaxBin2	27.083333333333332	48.525	2.9
hg_sample_11	MaxBin2	26.333333333333332	48.83125	3.0
hg_sample_14	MaxBin2	49.53333333333333	38.10625	1.5
hg_sample_13	MaxBin2	53.7	41.64375	1.5
hg_sample_0	MaxBin2	60.71666666666667	40.26875	2.3
hg_sample_16	MaxBin2	44.55	37.16875	2.1
hg_sample_15	MaxBin2	52.5	44.3375	1.6
hg_sample_19	MaxBin2	43.75	41.4	1.4
hg_sample_17	MaxBin2	53.55	42.9375	1.3
hg_sample_5	MaxBin2	19.916666666666668	60.04375	4.3
hg_sample_4	MaxBin2	23.166666666666668	46.4	2.5
hg_sample_3	MaxBin2	27.216666666666665	51.1375	2.9
hg_sample_2	MaxBin2	40.2	47.38125	3.0
hg_sample_1	MaxBin2	52.31666666666667	37.63125	4.2
hg_sample_18	MaxBin2	64.01666666666667	32.1875	2.1
hg_sample_6	MaxBin2	31.083333333333332	54.38125	1.9
hg_sample_9	MaxBin2	30.25	47.4875	2.8
hg_sample_7	MaxBin2	34.36666666666667	48.21875	1.3
hg_sample_8	MaxBin2	46.75	45.31875	1.8
hg_sample_11	MetaBAT2	1.6333333333333333	56.71875	0.18857421875
hg_sample_12	MetaBAT2	0.15	48.44375	0.13310546875
hg_sample_10	MetaBAT2	0.05	55.6375	0.20556640625
hg_sample_10	CONCOCT	6.333333333333333	39.1875	0.32041015625
hg_sample_12	CONCOCT	6.983333333333333	48.54375	0.2759765625
hg_sample_11	CONCOCT	10.1	62.88125	0.3185546875
hg_sample_11	SemiBin2	9.566666666666666	23.4875	19.0
hg_sample_14	MetaBAT2	5.683333333333334	55.83125	0.25244140625
hg_sample_12	SemiBin2	9.3	20.76875	1.7
hg_sample_14	SemiBin2	9.716666666666667	26.60625	47.2
hg_sample_13	MetaBAT2	4.233333333333333	56.71875	0.2365234375
hg_sample_10	SemiBin2	11.816666666666666	28.7125	2.1
hg_sample_16	MetaBAT2	4.633333333333333	54.44375	0.294921875
hg_sample_13	SemiBin2	10.483333333333333	25.175	38.1
hg_sample_15	MetaBAT2	4.633333333333333	56.25	0.2580078125
hg_sample_0	MetaBAT2	3.75	55.3875	0.28359375
hg_sample_15	SemiBin2	10.433333333333334	26.24375	42.5
hg_sample_16	SemiBin2	12.133333333333333	28.84375	40.0
hg_sample_16	CONCOCT	15.85	70.41875	0.43994140625
